"Date","Price"
"2018-04-27",58.77
"2018-04-30",58.89
"2018-05-01",58.02
"2018-05-02",57.09
"2018-05-03",57.16
"2018-05-04",58.01
"2018-05-07",57.12
"2018-05-08",56.76
"2018-05-09",55.73
"2018-05-10",56.11
"2018-05-11",56.38
"2018-05-14",56.61
"2018-05-15",56.55
"2018-05-16",57.19
"2018-05-17",56.89
"2018-05-18",56.48
"2018-05-21",57.38
"2018-05-22",57.14
"2018-05-23",57.2
"2018-05-24",57.05
"2018-05-25",56.98
"2018-05-29",57.19
"2018-05-30",57.96
"2018-05-31",57.26
"2018-06-01",57.41
"2018-06-04",58.13
"2018-06-05",57.92
"2018-06-06",58.09
"2018-06-07",58.31
"2018-06-08",58.54
"2018-06-11",58.74
"2018-06-12",59.07
"2018-06-13",59.31
"2018-06-14",59.17
"2018-06-15",59.91
"2018-06-18",58.99
"2018-06-19",59.38
"2018-06-20",59.33
"2018-06-21",59.96
"2018-06-22",60.51
"2018-06-25",61.21
"2018-06-26",60.77
"2018-06-27",61.12
"2018-06-28",60.93
"2018-06-29",60.92
"2018-07-02",60.59
"2018-07-03",60.52
"2018-07-05",60.79
"2018-07-06",60.77
"2018-07-09",60.67
"2018-07-10",62.66
"2018-07-11",62.34
"2018-07-12",62.02
"2018-07-13",62.76
"2018-07-16",62.81
"2018-07-17",63.59
"2018-07-18",63.53
"2018-07-19",63.71
"2018-07-20",63.89
"2018-07-23",63.26
"2018-07-24",63.47
"2018-07-25",63.59
"2018-07-26",63.64
"2018-07-27",63.39
"2018-07-30",63.59
"2018-07-31",63.95
"2018-08-01",63.2
"2018-08-02",63.71
"2018-08-03",64.48
"2018-08-06",64.84
"2018-08-07",63.88
"2018-08-08",63.74
"2018-08-09",63.65
"2018-08-10",63.77
"2018-08-13",63.64
"2018-08-14",64.04
"2018-08-15",63.95
"2018-08-16",66.9
"2018-08-17",66.86
"2018-08-20",66.23
"2018-08-21",65.92
"2018-08-22",65.32
"2018-08-23",65.07
"2018-08-24",65.07
"2018-08-27",65.01
"2018-08-28",65.12
"2018-08-29",65.25
"2018-08-30",65.37
"2018-08-31",65.31
"2018-09-04",64.83
"2018-09-05",65.89
"2018-09-06",66.26
"2018-09-07",65.81
"2018-09-10",66.41
"2018-09-11",66.26
"2018-09-12",66.2
"2018-09-13",66.3
"2018-09-14",65.99
"2018-09-17",66.32
"2018-09-18",66.07
"2018-09-19",65.95
"2018-09-20",66.56
"2018-09-21",66.52
"2018-09-24",65.37
"2018-09-25",65.34
"2018-09-26",65.03
"2018-09-27",64.75
"2018-09-28",64.91
"2018-10-01",64.73
"2018-10-02",64.35
"2018-10-03",63.62
"2018-10-04",63.38
"2018-10-05",63.06
"2018-10-08",64.03
"2018-10-09",64.77
"2018-10-10",64.11
"2018-10-11",62.82
"2018-10-12",63.17
"2018-10-15",62.96
"2018-10-16",64.14
"2018-10-17",64.67
"2018-10-18",64.42
"2018-10-19",65.47
"2018-10-22",65.19
"2018-10-23",65.63
"2018-10-24",66.43
"2018-10-25",66.93
"2018-10-26",66.09
"2018-10-29",67.14
"2018-10-30",68.24
"2018-10-31",67.12
"2018-11-01",66.96
"2018-11-02",67.08
"2018-11-05",68.59
"2018-11-06",68.98
"2018-11-07",69.43
"2018-11-08",69.75
"2018-11-09",70.4
"2018-11-12",69.71
"2018-11-13",69.47
"2018-11-14",68.86
"2018-11-15",68.27
"2018-11-16",68.17
"2018-11-19",68.07
"2018-11-20",66.31
"2018-11-21",66.08
"2018-11-23",66.41
"2018-11-26",66.58
"2018-11-27",66.71
"2018-11-28",68.14
"2018-11-29",68.01
"2018-11-30",69.27
"2018-12-03",68.69
"2018-12-04",67.39
"2018-12-06",67.22
"2018-12-07",66.39
"2018-12-10",66.74
"2018-12-11",67.05
"2018-12-12",66.73
"2018-12-13",67.11
"2018-12-14",65.36
"2018-12-17",64.68
"2018-12-18",64.45
"2018-12-19",63.72
"2018-12-20",62.72
"2018-12-21",62.43
"2018-12-24",60.93
"2018-12-26",63.14
"2018-12-27",63.85
"2018-12-28",64.32
"2018-12-31",64.7
"2019-01-02",64.38
"2019-01-03",63.9
"2019-01-04",64.79
"2019-01-07",64.83
"2019-01-08",65.38
"2019-01-09",64.32
"2019-01-10",64.54
"2019-01-11",64.5
"2019-01-14",64.27
"2019-01-15",65.22
"2019-01-16",65.05
"2019-01-17",65.44
"2019-01-18",66.03
"2019-01-22",65.9
"2019-01-23",66.55
"2019-01-24",66.06
"2019-01-25",65.55
"2019-01-28",65.43
"2019-01-29",65.38
"2019-01-30",65.32
"2019-01-31",66.24
"2019-02-01",65.45
"2019-02-04",66.04
"2019-02-05",66.25
"2019-02-06",66.31
"2019-02-07",66.67
"2019-02-08",66.28
"2019-02-11",66.46
"2019-02-12",66.96
"2019-02-13",67.37
"2019-02-14",67.09
"2019-02-15",68.59
"2019-02-19",69.32
"2019-02-20",68.53
"2019-02-21",68.47
"2019-02-22",68.73
"2019-02-25",68.37
"2019-02-26",68.2
"2019-02-27",67.83
"2019-02-28",68.49
"2019-03-01",68.32
"2019-03-04",68.29
"2019-03-05",68.4
"2019-03-06",68.57
"2019-03-07",68.13
"2019-03-08",67.9
"2019-03-11",68.63
"2019-03-12",68.59
"2019-03-13",68.8
"2019-03-14",68.36
"2019-03-15",68.47
"2019-03-18",69.39
"2019-03-19",69.71
"2019-03-20",69.4
"2019-03-21",69.89
"2019-03-22",70.04
"2019-03-25",70.05
"2019-03-26",70.46
"2019-03-27",70.07
"2019-03-28",70.02
"2019-03-29",70.37
"2019-04-01",70.29
"2019-04-02",69.91
"2019-04-03",69.96
"2019-04-04",70.23
"2019-04-05",70.5
"2019-04-08",70.76
"2019-04-09",70.64
"2019-04-10",70.89
"2019-04-11",71.16
"2019-04-12",71.58
"2019-04-15",72.31
"2019-04-16",72.07
"2019-04-17",73.61
"2019-04-18",73.65
"2019-04-22",73.18
"2019-04-23",73.61
"2019-04-24",73.71
"2019-04-25",73.44
"2019-04-26",72.89
"2019-04-29",72.99
"2019-04-30",73.83
"2019-05-01",73.1
"2019-05-02",72.9
"2019-05-03",73.47
"2019-05-06",73.47
"2019-05-07",72.69
"2019-05-08",72.38
"2019-05-09",72.31
"2019-05-10",73.69
"2019-05-13",72.77
"2019-05-14",72.99
"2019-05-15",73.46
"2019-05-16",74.22
"2019-05-17",74.16
"2019-05-20",74.19
"2019-05-21",73.78
"2019-05-22",74.45
"2019-05-23",74.31
"2019-05-24",74.42
"2019-05-28",73.75
"2019-05-29",73.81
"2019-05-30",73.98
"2019-05-31",73.54
"2019-06-03",74.02
"2019-06-04",74.24
"2019-06-05",75.59
"2019-06-06",76.3
"2019-06-07",77.09
"2019-06-10",77.61
"2019-06-11",77.61
"2019-06-12",77.88
"2019-06-13",77.76
"2019-06-14",77.83
"2019-06-17",77.8
"2019-06-18",77.8
"2019-06-19",78.05
"2019-06-20",78.69
"2019-06-21",78.89
"2019-06-24",78.99
"2019-06-25",78.71
"2019-06-26",78.06
"2019-06-27",77.84
"2019-06-28",77.77
"2019-07-01",78.05
"2019-07-02",78.55
"2019-07-03",79.28
"2019-07-05",78.87
"2019-07-08",78.97
"2019-07-09",78.75
"2019-07-10",79.63
"2019-07-11",79.92
"2019-07-12",79.8
"2019-07-15",80.2
"2019-07-16",80.02
"2019-07-17",79.64
"2019-07-18",79.71
"2019-07-19",78.55
"2019-07-22",78.26
"2019-07-23",78.17
"2019-07-24",77.66
"2019-07-25",77.65
"2019-07-26",78.62
"2019-07-29",78.49
"2019-07-30",78.08
"2019-07-31",76.68
"2019-08-01",76.15
"2019-08-02",76.4
"2019-08-05",74.11
"2019-08-06",75.24
"2019-08-07",75.97
"2019-08-08",76.79
"2019-08-09",76.11
"2019-08-12",75.34
"2019-08-13",76.56
"2019-08-14",75.92
"2019-08-15",78.54
"2019-08-16",78.97
"2019-08-19",79.49
"2019-08-20",78.76
"2019-08-21",78.84
"2019-08-22",78.9
"2019-08-23",77.79
"2019-08-26",79.28
"2019-08-27",79.75
"2019-08-28",79.99
"2019-08-29",80.69
"2019-08-30",80.98
"2019-09-03",81.33
"2019-09-04",82.29
"2019-09-05",81.43
"2019-09-06",81.64
"2019-09-09",81.85
"2019-09-10",81.59
"2019-09-11",81.73
"2019-09-12",82.32
"2019-09-13",82.22
"2019-09-16",81.11
"2019-09-17",81.68
"2019-09-18",81.82
"2019-09-19",81.81
"2019-09-20",81.51
"2019-09-23",81.95
"2019-09-24",82.18
"2019-09-25",82.13
"2019-09-26",82.27
"2019-09-27",82.29
"2019-09-30",82.84
"2019-10-01",82.65
"2019-10-02",80.99
"2019-10-03",82.33
"2019-10-04",83.7
"2019-10-07",82.77
"2019-10-08",82.52
"2019-10-09",83.17
"2019-10-10",83.39
"2019-10-11",83.53
"2019-10-14",83.12
"2019-10-15",82.86
"2019-10-16",82.87
"2019-10-17",83.18
"2019-10-18",82.71
"2019-10-21",82.86
"2019-10-22",82.99
"2019-10-23",83.18
"2019-10-24",83.22
"2019-10-25",82.8
"2019-10-28",82.84
"2019-10-29",82.02
"2019-10-30",82.58
"2019-10-31",82.4
"2019-11-01",82.44
"2019-11-04",81.85
"2019-11-05",81.9
"2019-11-06",82.26
"2019-11-07",82.13
"2019-11-08",81.8
"2019-11-11",81.45
"2019-11-12",81.34
